iter	Passed	Remaining
168	20534	52369
169	20644	52219
170	20757	52075
171	20880	51958
172	21051	51960
173	21208	51924
174	21362	51880
175	21529	51866
176	21694	51845
177	21873	51856
178	22019	51788
179	22141	51664
180	22262	51536
181	22366	51369
182	22467	51196
183	22576	51042
184	22682	50882
185	22782	50708
186	22894	50564
187	23013	50434
188	23138	50316
189	23247	50165
190	23358	50018
191	23482	49901
192	23586	49739
193	23691	49582
194	23804	49439
195	23915	49295
196	24015	49128
197	24133	48998
198	24232	48830
199	24339	48679
200	24463	48561
201	24565	48401
202	24671	48249
203	24781	48104
204	24894	47967
205	25019	47852
206	25131	47712
207	25234	47557
208	25355	47435
209	25457	47278
210	25566	47134
211	25672	46985
212	25769	46821
213	25868	46659
214	25987	46535
215	26134	46461
216	26266	46360
217	26391	46245
218	26497	46097
219	26618	45976
220	26715	45814
221	26838	45698
222	26928	45524
223	27028	45369
224	27134	45224
225	27235	45070
226	27340	44925
227	27449	44786
228	27558	44647
229	27681	44530
230	27783	44380
231	27879	44221
232	28009	44118
233	28162	44048
234	28277	43920
235	28375	43765
236	28474	43613
237	28573	43459
238	28680	43320
239	28774	43162
240	28874	43012
241	28989	42885
242	29097	42748
243	29202	42606
244	29306	42464
245	29409	42321
246	29509	42173
247	29632	42059
248	29733	41914
249	29833	41767
250	29944	41635
251	30052	41501
252	30163	41370
253	30263	41225
254	30365	41082
255	30476	40953
256	30582	40816
257	30680	40670
258	30786	40533
259	30871	40370
260	30974	40230
261	31087	40104
262	31183	39957
263	31282	39813
264	31388	39680
265	31491	39541
266	31595	39405
267	31700	39270
268	31801	39130
269	31900	38989
270	32007	38857
271	32100	38708
272	32204	38574
273	32300	38430
274	32395	38285
275	32491	38142
276	32591	38004
277	32691	37865
278	32792	37729
279	32894	37594
280	32993	37454
281	33110	37337
282	33212	37202
283	33308	37062
284	33407	36924
285	33506	36786
286	33599	36643
287	33704	36513
288	33815	36389
289	33909	36248
290	34007	36111
291	34116	35986
292	34220	35855
293	34325	35726
294	34472	35641
295	34698	35635
296	34801	35504
297	34900	35368
298	34994	35228
299	35127	35127
300	35240	35005
301	35339	34871
302	35449	34747
303	35547	34611
304	35654	34485
305	35781	34377
306	35886	34250
307	35995	34125
308	36118	34014
309	36220	33883
310	36329	33759
311	36433	33630
312	36534	33499
313	36641	33373
314	36751	33251
315	36880	33145
316	37020	33050
317	37136	32932
318	37269	32829
319	37381	32708
320	37485	32580
321	37595	32458
322	37697	32328
323	37805	32205
324	37906	32074
325	38011	31948
326	38132	31835
327	38240	31711
328	38347	31587
329	38461	31468
330	38568	31343
331	38683	31226
332	38787	31099
333	38888	30971
334	39005	30855
335	39109	30729
336	39210	30600
337	39321	30480
338	39442	30367
339	39552	30245
340	39675	30134
341	39777	30007
342	39884	29884
343	39989	29759
344	40091	29632
345	40191	29504
346	40295	29379
347	40390	29248
348	40482	29114
349	40607	29005
350	40711	28880
351	40809	28752
352	40902	28620
353	41012	28500
354	41147	28397
355	41243	28267
356	41349	28145
357	41454	28022
358	41563	27902
359	41669	27779
360	41779	27660
361	41877	27532
362	41984	27411
363	42083	27285
364	42186	27161
365	42298	27043
366	42426	26935
367	42545	26822
368	42658	26704
369	42762	26581
370	42864	26458
371	42959	26330
372	43062	26206
373	43161	26081
374	43268	25960
375	43370	25837
376	43479	25718
377	43579	25594
378	43685	25473
379	43787	25350
380	43886	25226
381	43982	25100
382	44083	24977
383	44189	24856
384	44285	24730
385	44403	24617
386	44503	24494
387	44609	24373
388	44711	24252
389	44807	24126
390	44917	24009
391	45018	23887
392	45126	23768
393	45226	23646
394	45336	23529
395	45435	23406
396	45537	23284
397	45641	23164
398	45749	23046
